"Código","Clave","Descripción","DUN-14 Inner","DUN-14 Master"
"22606","218-P","Pinza para electricista 8' uso rudo, Pretul",17501206644819,27501206644816
"27154","218-PX","Pinza p/electricista 8' cabeza cuadrada Comfort Grip, Pretul",17506240642791,27506240642798
"22612","219-P","Pinza para electricista 9' uso rudo, Pretul",17501206644826,27501206644823
"27155","219-PX","Pinza p/electricista 9' cabeza cuadrada Comfort Grip, Pretul",17506240642807,27506240642804
"11835","425-002","Empaque para tapadera para fumigadora FM-425, Truper",17506240622731,27506240622738
"11906","425-004","Coladera para fumigadora FM-425, Truper",17506240622779,27506240622776
"11908","425-008-C","Abrazadera de plástico completa para fumigadora FM-425",17506240622793,27506240622790
"11907","425-008-C1","Pistola económica con manguera completa para FM-425, Truper",17506240622786,27506240622783
"11827","425-012","Balancín con perno integrado para fumigadora FM-425, Truper",17506240622663,27506240622660
"11829","425-019-C","Cámara de presión con O ring completo para fumigadora 425",17506240622687,27506240622684
"11828","425-020","Válvula de alivio tipo J para fumigadora FM-425, Truper",17506240622670,27506240622677
"11696","425-021","O ring para cámara para fumigadora FM-425, Truper",17506240622519,27506240622516
"11694","425-022","Empaque Chek-N para fumigadora FM-425, 2 piezas, Truper",17506240622496,27506240622493
"11698","425-023","O ring chico para cilindro de fumigadora FM-425, Truper",17506240622533,27506240622530
"11695","425-024-C","Cilindro completo para fumigadora FM-425, Truper",17506240622502,27506240622509
"11731","425-027","O ring grande para cilindro para fumigadora FM-425, Truper",17506240622564,27506240622561
"11699","425-031","Pistón con perno integrado para fumigadora FM-425, Truper",17506240622540,27506240622547
"11905","425-031-C","Pistón con perno integrado completo para fumigadora FM-425",17506240622762,27506240622769
"11738","425-031-C1","Pistón completo para fumigadora FM-425, Truper",17506240622632,27506240622639
"11831","425-034-C","Cinta completa con hombreras para fumigadora FM-425, Truper",17506240622847,27506240622844
"11910","425-035","Hebilla para cinta para fumigadora FM-425, Truper",17506240622816,27506240622813
"11904","425-036","Gancho para cinta para fumigadora FM-425, Truper",17506240622755,27506240622752
"11830","425-041-C","Protector con perno completo para fumigadora FM-425, Truper",17506240622694,27506240622691
"11734","425-043","Bolsa con 2 bielas para fumigador FM-425, Truper",17506240622595,27506240622592
"11739","425-045-C","Tornillo para balancín completo para fumigadora FM- 425",17506240622649,27506240622646
"11691","425-054-C","Anillo pistón completo para fumigadora FM425, Truper",17506240622465,27506240622462
