key,code,ean,DUN-14 Inner,DUN-14 Master,unit,description,brand,buy,retailsale,wholesale,inventory,min_inventory,department
218-P,22606,7501206644812,17501206644819,27501206644816,Pieza,"Pinza para electricista 8' uso rudo, Pretul",Pretul,105,155,125,10,1,Pinzas
218-PX,27154,7506240642794,17506240642791,27506240642798,Pieza,"Pinza p/electricista 8' cabeza cuadrada Comfort Grip, Pretul",Pretul,119,169,142,10,1,Pinzas
219-P,22612,7501206644829,17501206644826,27501206644823,Pieza,"Pinza para electricista 9' uso rudo, Pretul",Pretul,115,165,139,10,1,Pinzas
219-PX,27155,7506240642800,17506240642807,27506240642804,Pieza,"Pinza p/electricista 9' cabeza cuadrada Comfort Grip, Pretul",Pretul,135,195,162,10,1,Pinzas
425-002,11835,7506240622734,17506240622731,27506240622738,Pieza,"Empaque para tapadera para fumigadora FM-425, Truper",Truper,17,29,24,10,1,Fumigadores (refacciones)
425-004,11906,7506240622772,17506240622779,27506240622776,Pieza,"Coladera para fumigadora FM-425, Truper",Truper,35,59,49,10,1,Fumigadores (refacciones)
425-008-C,11908,7506240622796,17506240622793,27506240622790,Pieza,Abrazadera de plástico completa para fumigadora FM-425,Truper,55,93,77,10,1,Fumigadores (refacciones)
425-008-C1,11907,7506240622789,17506240622786,27506240622783,Pieza,"Pistola económica con manguera completa para FM-425, Truper",Truper,255,429,357,10,1,Fumigadores (refacciones)
425-012,11827,7506240622666,17506240622663,27506240622660,Pieza,"Balancín con perno integrado para fumigadora FM-425, Truper",Truper,65,109,92,10,1,Fumigadores (refacciones)
425-019-C,11829,7506240622680,17506240622687,27506240622684,Pieza,Cámara de presión con O ring completo para fumigadora 425,Truper,165,279,229,10,1,Fumigadores (refacciones)
425-020,11828,7506240622673,17506240622670,27506240622677,Pieza,"Válvula de alivio tipo J para fumigadora FM-425, Truper",Truper,13,22,18.5,10,1,Fumigadores (refacciones)
425-021,11696,7506240622512,17506240622519,27506240622516,Pieza,"O ring para cámara para fumigadora FM-425, Truper",Truper,20,34,28,10,1,Fumigadores (refacciones)
425-022,11694,7506240622499,17506240622496,27506240622493,Par,"Empaque Chek-N para fumigadora FM-425, 2 piezas, Truper",Truper,17,29,24,10,1,Fumigadores (refacciones)
425-023,11698,7506240622536,17506240622533,27506240622530,Pieza,"O ring chico para cilindro de fumigadora FM-425, Truper",Truper,8,13.5,11,10,1,Fumigadores (refacciones)
425-024-C,11695,7506240622505,17506240622502,27506240622509,Juego,"Cilindro completo para fumigadora FM-425, Truper",Truper,135,229,189,10,1,Fumigadores (refacciones)
425-027,11731,7506240622567,17506240622564,27506240622561,Pieza,"O ring grande para cilindro para fumigadora FM-425, Truper",Truper,17,29,24,10,1,Fumigadores (refacciones)
425-031,11699,7506240622543,17506240622540,27506240622547,Pieza,"Pistón con perno integrado para fumigadora FM-425, Truper",Truper,35,59,49,10,1,Fumigadores (refacciones)
425-031-C,11905,7506240622765,17506240622762,27506240622769,Pieza,Pistón con perno integrado completo para fumigadora FM-425,Truper,115,195,162,10,1,Fumigadores (refacciones)
425-031-C1,11738,7506240622635,17506240622632,27506240622639,Pieza,"Pistón completo para fumigadora FM-425, Truper",Truper,155,265,215,10,1,Fumigadores (refacciones)
425-034-C,11831,7506240622840,17506240622847,27506240622844,Pieza,"Cinta completa con hombreras para fumigadora FM-425, Truper",Truper,225,379,315,10,1,Fumigadores (refacciones)
425-035,11910,7506240622819,17506240622816,27506240622813,Pieza,"Hebilla para cinta para fumigadora FM-425, Truper",Truper,17,29,24,10,1,Fumigadores (refacciones)
425-036,11904,7506240622758,17506240622755,27506240622752,Pieza,"Gancho para cinta para fumigadora FM-425, Truper",Truper,28,47,39,10,1,Fumigadores (refacciones)
425-041-C,11830,7506240622697,17506240622694,27506240622691,Pieza,"Protector con perno completo para fumigadora FM-425, Truper",Truper,25,42,35,10,1,Fumigadores (refacciones)
